paquete,licencia
ms@2.1.3,"MIT"
multitars@1.0.2,"MIT"
nanoid@3.3.18,"MIT"
natural-compare@1.4.0,"MIT"
negotiator@0.6.3,"MIT"
negotiator@0.6.4,"MIT"
negotiator@1.1.0,"MIT"
node-fetch@2.7.0,"MIT"
node-forge@1.4.0,"(BSD-3-Clause OR GPL-2.0)"
node-int64@0.4.0,"MIT"
node-releases@2.0.53,"MIT"
normalize-path@3.0.0,"MIT"
npm-package-arg@11.0.3,"ISC"
npm-run-path@4.0.1,"MIT"
nth-check@2.1.1,"BSD-2-Clause"
nullthrows@1.1.1,"MIT"
nwsapi@2.2.24,"MIT"
ob1@0.84.5,"MIT"
object-assign@4.1.1,"MIT"
on-finished@2.3.0,"MIT"
on-finished@2.4.1,"MIT"
on-headers@1.1.0,"MIT"
once@1.4.0,"ISC"
onetime@2.0.1,"MIT"
onetime@5.1.2,"MIT"
open@7.4.2,"MIT"
ora@3.4.0,"MIT"
p-limit@2.3.0,"MIT"
p-limit@3.1.0,"MIT"
p-locate@4.1.0,"MIT"
p-try@2.2.0,"MIT"
parse-json@5.2.0,"MIT"
parse-png@2.1.0,"MIT"
parse5@7.3.0,"MIT"
parseurl@1.3.3,"MIT"
path-exists@4.0.0,"MIT"
path-is-absolute@1.0.1,"MIT"
path-key@3.1.1,"MIT"
path-parse@1.0.7,"MIT"
path-scurry@2.0.2,"BlueOak-1.0.0"
picocolors@1.1.1,"ISC"
picomatch@2.3.2,"MIT"
picomatch@4.0.7,"MIT"
pirates@4.0.7,"MIT"
pkg-dir@4.2.0,"MIT"
plist@3.1.1,"MIT"
pngjs@3.4.0,"MIT"
postcss-value-parser@4.2.0,"MIT"
postcss@8.5.26,"MIT"
pretty-format@29.7.0,"MIT"
pretty-format@30.4.1,"MIT"
proc-log@4.2.0,"ISC"
progress@2.0.3,"MIT"
promise@7.3.1,"MIT"
promise@8.3.0,"MIT"
prompts@2.4.2,"MIT"
psl@1.15.0,"MIT"
punycode@2.3.1,"MIT"
pure-rand@6.1.0,"MIT"
query-string@7.1.3,"MIT"
querystringify@2.2.0,"MIT"
range-parser@1.2.1,"MIT"
react-devtools-core@6.1.5,"MIT"
react-dom@19.2.3,"MIT"
react-freeze@1.0.4,"MIT"
react-is@18.3.1,"MIT"
react-is@19.2.8,"MIT"
react-native-safe-area-context@5.7.0,"MIT"
react-native-screens@4.26.2,"MIT"
react-native-svg@15.15.4,"MIT"
react-native-url-polyfill@2.0.0,"MIT"
react-native-web@0.21.2,"MIT"
react-native@0.86.2,"MIT"
react-reconciler@0.33.0,"MIT"
react-refresh@0.14.2,"MIT"
react-test-renderer@19.2.3,"MIT"
react@19.2.3,"MIT"
redent@3.0.0,"MIT"
regenerate-unicode-properties@10.2.2,"MIT"
regenerate@1.4.2,"MIT"
regenerator-runtime@0.13.11,"MIT"
regexpu-core@6.4.0,"MIT"
regjsgen@0.8.0,"MIT"
regjsparser@0.13.2,"BSD-2-Clause"
require-directory@2.1.1,"MIT"
requires-port@1.0.0,"MIT"
resolve-cwd@3.0.0,"MIT"
resolve-from@5.0.0,"MIT"
resolve-workspace-root@2.0.1,"MIT"
resolve.exports@2.0.3,"MIT"
resolve@1.22.12,"MIT"
restore-cursor@2.0.0,"MIT"
safe-buffer@5.2.1,"MIT"
safer-buffer@2.1.2,"MIT"
sandbox-cli-detector@0.2.0,"MIT"
sax@1.6.1,"BlueOak-1.0.0"
saxes@6.0.0,"ISC"
scheduler@0.27.0,"MIT"
semver@6.3.1,"ISC"
semver@7.8.5,"ISC"
send@0.19.2,"MIT"
serialize-error@2.1.0,"MIT"
serve-static@1.16.3,"MIT"
server-only@0.0.1,"MIT"
setimmediate@1.0.5,"MIT"
setprototypeof@1.2.0,"ISC"
sf-symbols-typescript@2.2.0,"MIT"
shebang-command@2.0.0,"MIT"
shebang-regex@3.0.0,"MIT"
shell-quote@1.10.0,"MIT"
signal-exit@3.0.7,"ISC"
simple-plist@1.3.1,"MIT"
simple-swizzle@0.2.4,"MIT"
sisteransi@1.0.5,"MIT"
slash@3.0.0,"MIT"
slash@5.1.0,"MIT"
slugify@1.6.9,"MIT"
source-map-js@1.2.1,"BSD-3-Clause"
source-map-support@0.5.13,"MIT"
source-map-support@0.5.21,"MIT"
source-map@0.5.6,"BSD-3-Clause"
source-map@0.5.7,"BSD-3-Clause"
source-map@0.6.1,"BSD-3-Clause"
split-on-first@1.1.0,"MIT"
sprintf-js@1.0.3,"BSD-3-Clause"
stack-generator@2.0.10,"MIT"
